,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
5188,236758,https://sofifa.com/player/236758/oliver-christensen/220002,O. Christensen,Oliver Christensen,GK,70,78,3100000.0,14000.0,22,1999-03-22,190,82,166.0,Hertha BSC,German 1. Bundesliga,1.0,SUB,32.0,,2021-08-26,2026.0,13,Denmark,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,5900000.0,,,,,,,,,10,5,9,45,5,16,16,11,49,19,37,38,33,58,34,47,64,42,64,6,32,13,6,65,10,47,14,13,11,74,68,63,68,71,37.0,24+2,24+2,24+2,25,27,27,27,25,32+2,32+2,32+2,30+2,35+2,35+2,35+2,30+2,25+2,32+2,32+2,32+2,25+2,24+2,25+2,25+2,25+2,24+2,69+2,https://cdn.sofifa.net/players/236/758/22_120.png,https://cdn.sofifa.net/teams/166/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/dk.png
1072,234678,https://sofifa.com/player/234678/joakim-maehle/220002,J. Mæhle,Joakim Mæhle Pedersen,"RWB, RB, RM",77,82,15000000.0,35000.0,24,1997-05-20,185,79,39.0,Atalanta,Italian Serie A,1.0,SUB,3.0,,2021-01-04,2025.0,13,Denmark,1331.0,LWB,5.0,Right,3,3,2,Medium/Medium,Normal (185+),No,26600000.0,,Speed Dribbler (AI),89.0,56.0,68.0,72.0,66.0,78.0,76,50,59,73,62,72,63,25,68,75,86,91,67,74,64,65,84,90,74,62,73,63,76,65,33,70,63,72,70,12,8,12,10,8,,68+2,68+2,68+2,72,71,71,71,72,71+2,71+2,71+2,74+2,71+2,71+2,71+2,74+2,75+2,71+2,71+2,71+2,75+2,74+2,69+2,69+2,69+2,74+2,17+2,https://cdn.sofifa.net/players/234/678/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
3732,241522,https://sofifa.com/player/241522/jonas-wind/220002,J. Wind,Jonas Older Wind,"ST, CF",72,79,4800000.0,15000.0,22,1999-02-07,190,82,819.0,F.C. København,Danish Superliga,1.0,ST,23.0,,2016-07-01,2025.0,13,Denmark,1331.0,SUB,19.0,Right,3,3,1,High/Medium,Normal (185+),No,7200000.0,,"Flair, Playmaker (AI)",71.0,70.0,67.0,72.0,35.0,78.0,56,70,71,71,64,73,64,65,65,74,68,73,63,71,67,73,71,77,84,66,64,34,74,73,76,72,35,29,22,7,10,10,11,9,,72+2,72+2,72+2,70,72,72,72,70,71+2,71+2,71+2,70+2,67+2,67+2,67+2,70+2,54+2,55+2,55+2,55+2,54+2,52+2,50+2,50+2,50+2,52+2,16+2,https://cdn.sofifa.net/players/241/522/22_120.png,https://cdn.sofifa.net/teams/819/60.png,https://cdn.sofifa.net/flags/dk.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
2238,229723,https://sofifa.com/player/229723/mathias-jensen/220002,M. Jensen,Mathias Jensen,CM,74,77,5500000.0,37000.0,25,1996-01-01,180,68,1925.0,Brentford,English Premier League,1.0,SUB,8.0,,2019-07-10,2023.0,13,Denmark,1331.0,SUB,24.0,Right,4,3,1,High/Medium,Lean (170-185),No,11400000.0,,"Long Passer (AI), Playmaker (AI)",67.0,63.0,75.0,73.0,65.0,70.0,72,61,50,76,50,69,70,68,76,74,68,67,82,74,77,62,67,80,66,67,68,71,69,78,69,79,71,62,57,5,13,10,8,12,,65+2,65+2,65+2,71,70,70,70,71,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,70+2,71+2,71+2,71+2,70+2,68+2,66+2,66+2,66+2,68+2,17+2,https://cdn.sofifa.net/players/229/723/22_120.png,https://cdn.sofifa.net/teams/1925/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
3716,240017,https://sofifa.com/player/240017/andreas-skov-olsen/220002,A. Olsen,Andreas Skov Olsen,"CAM, RW",72,81,5500000.0,16000.0,21,1999-12-29,188,75,189.0,Bologna,Italian Serie A,1.0,SUB,11.0,,2019-07-24,2024.0,13,Denmark,1331.0,SUB,11.0,Left,4,3,1,Medium/Low,Normal (185+),No,10500000.0,,"Finesse Shot, Speed Dribbler (AI)",81.0,70.0,67.0,75.0,35.0,66.0,68,68,64,68,59,77,70,62,63,76,80,82,70,64,74,74,69,65,67,71,62,24,74,68,68,68,36,34,24,13,8,7,7,11,,71+2,71+2,71+2,73,73,73,73,73,72+2,72+2,72+2,72+2,65+2,65+2,65+2,72+2,55+2,52+2,52+2,52+2,55+2,52+2,47+2,47+2,47+2,52+2,16+2,https://cdn.sofifa.net/players/240/017/22_120.png,https://cdn.sofifa.net/teams/189/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
395,172522,https://sofifa.com/player/172522/daniel-wass/220002,D. Wass,Daniel Wass,"RB, RM, CM",80,80,14500000.0,38000.0,32,1989-05-31,181,74,461.0,Valencia CF,Spain Primera Division,1.0,RCM,18.0,,2018-07-10,2022.0,13,Denmark,1331.0,RWB,18.0,Right,3,3,2,Medium/Medium,Normal (170-185),Yes,30500000.0,,"Solid Player, Long Shot Taker (AI)",74.0,77.0,80.0,77.0,76.0,76.0,79,75,69,80,69,76,78,84,81,80,73,75,73,80,71,85,68,87,73,80,74,79,76,78,61,77,76,76,75,11,9,10,13,13,,77+2,77+2,77+2,77,78,78,78,77,78+2,78+2,78+2,78+2,79+1,79+1,79+1,78+2,79+1,79+1,79+1,79+1,79+1,78+2,75+2,75+2,75+2,78+2,19+2,https://cdn.sofifa.net/players/172/522/22_120.png,https://cdn.sofifa.net/teams/461/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
1707,215449,https://sofifa.com/player/215449/robert-skov/220002,R. Skov,Robert Skov,"RM, LWB, LB",75,78,7500000.0,29000.0,25,1996-05-25,185,81,10029.0,TSG Hoffenheim,German 1. Bundesliga,1.0,SUB,29.0,,2019-07-27,2024.0,13,Denmark,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,13300000.0,#FK Specialist,"Power Free-Kick, Long Shot Taker (AI)",78.0,77.0,76.0,73.0,64.0,71.0,85,72,52,73,73,73,87,88,70,73,76,79,76,73,74,88,49,77,69,82,74,60,72,70,74,72,65,69,65,15,16,15,13,11,,73+2,73+2,73+2,75,74,74,74,75,73+2,73+2,73+2,74+2,72+2,72+2,72+2,74+2,72+2,69+2,69+2,69+2,72+2,70+2,66+2,66+2,66+2,70+2,20+2,https://cdn.sofifa.net/players/215/449/22_120.png,https://cdn.sofifa.net/teams/10029/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/dk.png
906,193290,https://sofifa.com/player/193290/martin-braithwaite/220002,M. Braithwaite,Martin Braithwaite Christensen,"ST, LW",77,77,10500000.0,120000.0,30,1991-06-05,177,73,241.0,FC Barcelona,Spain Primera Division,1.0,SUB,12.0,,2020-02-20,2024.0,13,Denmark,1331.0,RW,9.0,Right,4,4,2,Medium/Medium,Normal (170-185),No,21500000.0,,"Flair, Speed Dribbler (AI)",80.0,76.0,72.0,79.0,35.0,74.0,68,78,67,75,75,78,71,75,65,81,79,80,81,77,70,77,81,76,75,71,69,31,78,74,73,76,35,30,26,14,13,11,7,8,,77,77,77,77,77,77,77,77,77,77,77,76+1,70+2,70+2,70+2,76+1,58+2,57+2,57+2,57+2,58+2,55+2,51+2,51+2,51+2,55+2,18+2,https://cdn.sofifa.net/players/193/290/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
624,228687,https://sofifa.com/player/228687/kasper-dolberg/220002,K. Dolberg,Kasper Dolberg Rasmussen,ST,79,83,25500000.0,37000.0,23,1997-10-06,187,84,72.0,OGC Nice,French Ligue 1,1.0,RS,9.0,,2019-08-29,2024.0,13,Denmark,1331.0,ST,12.0,Right,4,3,2,High/Medium,Normal (185+),Yes,50400000.0,,"Finesse Shot, Power Header, Outside Foot Shot",73.0,81.0,69.0,77.0,30.0,68.0,50,80,74,79,78,78,76,70,60,79,69,76,72,75,64,86,73,73,79,79,32,23,81,77,78,76,28,24,19,7,15,13,9,7,,79+2,79+2,79+2,75,78,78,78,75,77+2,77+2,77+2,74+2,70+2,70+2,70+2,74+2,53+2,52+2,52+2,52+2,53+2,49+2,45+2,45+2,45+2,49+2,17+2,https://cdn.sofifa.net/players/228/687/22_120.png,https://cdn.sofifa.net/teams/72/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
