,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
8556,256161,https://sofifa.com/player/256161/wellington-ramirez/220002,W. Ramírez,Wellington Moisés Ramírez Preciado,GK,67,79,2100000.0,500.0,20,2000-09-09,188,68,112908.0,Independiente del Valle,Ecuadorian Serie A,1.0,GK,1.0,,2018-07-01,2023.0,57,Ecuador,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,4900000.0,,,,,,,,,13,8,14,24,6,9,11,12,16,18,35,29,41,65,44,47,60,29,57,7,20,14,8,35,13,35,11,12,12,67,65,63,65,68,33.0,23+2,23+2,23+2,21,23,23,23,21,23+2,23+2,23+2,22+2,23+2,23+2,23+2,22+2,22+2,23+2,23+2,23+2,22+2,22+2,23+2,23+2,23+2,22+2,66+2,https://cdn.sofifa.net/players/256/161/22_120.png,https://cdn.sofifa.net/teams/112908/60.png,https://cdn.sofifa.net/flags/ec.png,,https://cdn.sofifa.net/flags/ec.png
3457,221860,https://sofifa.com/player/221860/carlos-gruezo/220002,C. Gruezo,Carlos Armando Gruezo Arboleda,"CDM, CM",72,75,2800000.0,16000.0,26,1995-04-19,173,71,100409.0,FC Augsburg,German 1. Bundesliga,1.0,SUB,8.0,,2019-07-02,2024.0,57,Ecuador,,,,Right,3,2,1,Low/High,Normal (170-185),No,5300000.0,,,61.0,46.0,61.0,67.0,68.0,73.0,43,41,54,72,37,60,48,47,69,70,68,55,78,69,85,61,69,73,69,42,86,69,55,58,49,65,68,71,73,9,10,12,12,11,,57+2,57+2,57+2,59,60,60,60,59,62+2,62+2,62+2,61+2,65+2,65+2,65+2,61+2,66+2,71+2,71+2,71+2,66+2,66+2,69+2,69+2,69+2,66+2,17+2,https://cdn.sofifa.net/players/221/860/22_120.png,https://cdn.sofifa.net/teams/100409/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ec.png
8170,236268,https://sofifa.com/player/236268/pedro-velasco/220002,P. Velasco,Pedro Pablo Velasco Arboleda,"RB, LB",67,67,925000.0,500.0,28,1993-06-29,174,76,110981.0,Barcelona Sporting Club,Ecuadorian Serie A,1.0,RES,31.0,,2013-02-05,2021.0,57,Ecuador,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2000000.0,,"Long Throw-in, Team Player",75.0,52.0,57.0,60.0,63.0,64.0,64,54,64,64,35,52,39,42,49,65,76,74,73,67,69,55,59,71,64,50,58,61,51,52,46,57,65,62,59,14,10,15,15,11,,59+2,59+2,59+2,61,59,59,59,61,59+2,59+2,59+2,61+2,59+2,59+2,59+2,61+2,65+2,62+2,62+2,62+2,65+2,65+2,63+2,63+2,63+2,65+2,19+2,https://cdn.sofifa.net/players/236/268/22_120.png,https://cdn.sofifa.net/teams/110981/60.png,https://cdn.sofifa.net/flags/ec.png,,https://cdn.sofifa.net/flags/ec.png
3457,221860,https://sofifa.com/player/221860/carlos-gruezo/220002,C. Gruezo,Carlos Armando Gruezo Arboleda,"CDM, CM",72,75,2800000.0,16000.0,26,1995-04-19,173,71,100409.0,FC Augsburg,German 1. Bundesliga,1.0,SUB,8.0,,2019-07-02,2024.0,57,Ecuador,,,,Right,3,2,1,Low/High,Normal (170-185),No,5300000.0,,,61.0,46.0,61.0,67.0,68.0,73.0,43,41,54,72,37,60,48,47,69,70,68,55,78,69,85,61,69,73,69,42,86,69,55,58,49,65,68,71,73,9,10,12,12,11,,57+2,57+2,57+2,59,60,60,60,59,62+2,62+2,62+2,61+2,65+2,65+2,65+2,61+2,66+2,71+2,71+2,71+2,66+2,66+2,69+2,69+2,69+2,66+2,17+2,https://cdn.sofifa.net/players/221/860/22_120.png,https://cdn.sofifa.net/teams/100409/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ec.png
5252,241412,https://sofifa.com/player/241412/ayrton-preciado/220002,A. Preciado,Eduar Ayrton Preciado García,LM,70,70,1700000.0,12000.0,26,1994-07-17,181,72,110144.0,Santos Laguna,Mexican Liga MX,1.0,SUB,32.0,,2018-07-22,2022.0,57,Ecuador,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2900000.0,,Injury Prone,85.0,71.0,64.0,70.0,32.0,66.0,60,67,71,67,73,71,64,68,67,67,87,83,78,68,65,81,52,72,72,70,45,37,67,59,71,62,31,19,20,7,6,11,8,6,,71-1,71-1,71-1,69,70,70,70,69,68+2,68+2,68+2,69+1,63+2,63+2,63+2,69+1,54+2,51+2,51+2,51+2,54+2,51+2,44+2,44+2,44+2,51+2,14+2,https://cdn.sofifa.net/players/241/412/22_120.png,https://cdn.sofifa.net/teams/110144/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
785,223053,https://sofifa.com/player/223053/angel-mena/220002,Á. Mena,Ángel Israel Mena Delgado,"RM, RW",78,78,9000000.0,28000.0,33,1988-01-21,168,71,110781.0,Club León,Mexican Liga MX,1.0,RM,13.0,,2019-01-01,2021.0,57,Ecuador,,,,Left,4,4,1,High/Medium,Lean (170-),No,15300000.0,#Acrobat,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",81.0,74.0,72.0,82.0,45.0,49.0,75,77,69,75,71,82,64,67,71,80,81,81,91,77,85,69,33,75,47,72,27,43,78,69,72,75,38,46,41,6,10,9,10,13,,75+2,75+2,75+2,78,77,77,77,78,77+1,77+1,77+1,77+1,72+2,72+2,72+2,77+1,64+2,58+2,58+2,58+2,64+2,61+2,50+2,50+2,50+2,61+2,17+2,https://cdn.sofifa.net/players/223/053/22_120.png,https://cdn.sofifa.net/teams/110781/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
